replicate,model,delta,gamma
174,exp_both,0.018352762802068993,0.36378899354738703
175,exp_both,0.014866444347878056,0.36005230419942114
176,exp_both,0.02353469279747555,0.3585062391468829
177,exp_both,0.01743941843163415,0.3671067447769544
178,exp_both,0.02156414910919457,0.36334376239788896
179,exp_both,0.02387921618941302,0.36218774357192424
180,exp_both,0.018709219955671763,0.37717972143720807
181,exp_both,0.011704678663390405,0.3659174672991284
182,exp_both,0.019868082756919887,0.3571815580570576
183,exp_both,0.01209873947517071,0.3651721104527517
184,exp_both,0.01706188503240847,0.3686717199245991
185,exp_both,0.012672741844572599,0.3684337185619327
186,exp_both,0.01833630000797132,0.36686336959431376
187,exp_both,0.0235218567921285,0.3514415564579829
188,exp_both,0.016037780074144952,0.35682166364181905
189,exp_both,0.017694955926132287,0.36157722315632923
190,exp_both,0.01683640220874987,0.3767854529010399
191,exp_both,0.009314408514842228,0.3868261042804934
192,exp_both,0.018623486634111473,0.37337517870395664
193,exp_both,0.019332233421568635,0.36724850272724024
194,exp_both,0.013394193168223848,0.37411440023380776
195,exp_both,0.014911637862146403,0.37817454258900945
196,exp_both,0.02026902171360412,0.3597729661662708
197,exp_both,0.019968323751799306,0.3776426370795935
198,exp_both,0.015151029305616518,0.33820996392260666
199,exp_both,0.016947679238020458,0.3644349142734276
200,exp_both,0.018668914633697256,0.37243494994384724
201,exp_both,0.012789416608621929,0.3594987565469621
202,exp_both,0.00999399489519814,0.3641816331289615
203,exp_both,0.019711322209408855,0.3763419350973969
204,exp_both,0.02048019529777209,0.35974271679796854
205,exp_both,0.014345592569790417,0.3674885719419626
206,exp_both,0.02672621554393354,0.3532812935030742
207,exp_both,0.01810343651185808,0.3652940115299636
208,exp_both,0.015179057839915352,0.3738901611954838
209,exp_both,0.0018757241158892603,0.3694295839734783
210,exp_both,0.016458489824651347,0.3794008621450779
211,exp_both,0.025545120051415536,0.3471405077593652
212,exp_both,0.02344130281315658,0.3628821631683998
213,exp_both,0.016465584231880888,0.3696896258466605
214,exp_both,0.011361948332550394,0.3808874265225139
215,exp_both,0.011199792838467434,0.378622526700382
216,exp_both,0.016667953224347744,0.36192405981221687
217,exp_both,0.020930809102328106,0.36858936196103476
218,exp_both,0.013751769303245743,0.38849878963807477
219,exp_both,0.014450969839415743,0.365838622368287
220,exp_both,0.01238463910315735,0.36652679669644184
221,exp_both,0.024141022852493695,0.3630782585688647
222,exp_both,0.020431587874167306,0.36185750974692066
