model,N_params_B,D_tokens_B,Q_score,parameter_elasticity,data_elasticity,quality_semielasticity,quality_log_elasticity
exp_both,11.97,150.0,0.9,0.11315059005761323,0.1867294322076992,0.3649501815677944,0.328455163411015
exp_both,0.07,300.0,0.5,0.2640621897299748,0.06249482799811766,0.3649501815677944,0.1824750907838972
exp_both,0.07470743292468979,300.0,0.5,0.26274951743130653,0.06357545615285187,0.3649501815677944,0.1824750907838972
exp_both,0.0797314362028146,300.0,0.5,0.26142089951117,0.0646692111843556,0.3649501815677944,0.1824750907838972
exp_both,0.08509329888729937,300.0,0.5,0.26007637481799933,0.065776061111523,0.3649501815677944,0.1824750907838972
exp_both,0.09081574169947851,300.0,0.5,0.25871599101625004,0.0668959666956555,0.3649501815677944,0.1824750907838972
exp_both,0.0969230133074249,300.0,0.5,0.25733980475665524,0.06802888130030225,0.3649501815677944,0.1824750907838972
exp_both,0.1034409930789037,300.0,0.5,0.25594788183945183,0.06917475075688773,0.3649501815677944,0.1824750907838972
exp_both,0.11039730074436423,300.0,0.5,0.25454029737004186,0.07033351323656696,0.3649501815677944,0.1824750907838972
exp_both,0.1178214134346628,300.0,0.5,0.25311713590655444,0.07150509912874851,0.3649501815677944,0.1824750907838972
exp_both,0.1257447905894602,300.0,0.5,0.25167849159877287,0.07268943092672585,0.3649501815677944,0.1824750907838972
exp_both,0.13420100726558945,300.0,0.5,0.2502244683178954,0.07388642312085486,0.3649501815677944,0.1824750907838972
exp_both,0.14322589641028324,300.0,0.5,0.24875517977660008,0.0750959820997126,0.3649501815677944,0.1824750907838972
exp_both,0.15285770070214,300.0,0.5,0.247270749638894,0.07631800605966715,0.3649501815677944,0.1824750907838972
exp_both,0.16313723460324897,300.0,0.5,0.24577131161923,0.07755238492328125,0.3649501815677944,0.1824750907838972
exp_both,0.1741080573091658,300.0,0.5,0.24425700957038915,0.0787990002669655,0.3649501815677944,0.1824750907838972
exp_both,0.18581665732960778,300.0,0.5,0.24272799755963548,0.08005772525828547,0.3649501815677944,0.1824750907838972
exp_both,0.19831264948202484,300.0,0.5,0.24118443993266575,0.08132842460331656,0.3649501815677944,0.1824750907838972
exp_both,0.21164898513279834,300.0,0.5,0.23962651136489216,0.08261095450442664,0.3649501815677944,0.1824750907838972
exp_both,0.22588217657695991,300.0,0.5,0.23805439689961463,0.08390516262885139,0.3649501815677944,0.1824750907838972
exp_both,0.24107253650723096,300.0,0.5,0.23646829197266023,0.08521088808841085,0.3649501815677944,0.1824750907838972
exp_both,0.25728443358712544,300.0,0.5,0.2348684024230882,0.08652796143069635,0.3649501815677944,0.1824750907838972
exp_both,0.27458656521109964,300.0,0.5,0.23325494448958597,0.08785620464203758,0.3649501815677944,0.1824750907838972
exp_both,0.29305224860755974,300.0,0.5,0.2316281447922066,0.08919543116253681,0.3649501815677944,0.1824750907838972
exp_both,0.3127597315182683,300.0,0.5,0.22998824029912743,0.09054544591343416,0.3649501815677944,0.1824750907838972
exp_both,0.33379252377064295,300.0,0.5,0.22833547827814066,0.09190604533704183,0.3649501815677944,0.1824750907838972
exp_both,0.35623975114797474,300.0,0.5,0.22667011623261862,0.09327701744945907,0.3649501815677944,0.1824750907838972
exp_both,0.3801965330570785,300.0,0.5,0.22499242182173262,0.0946581419062507,0.3649501815677944,0.1824750907838972
exp_both,0.4057643855937327,300.0,0.5,0.2233026727647378,0.09604919008124213,0.3649501815677944,0.1824750907838972
exp_both,0.4330516517138821,300.0,0.5,0.22160115672917713,0.09744992515855272,0.3649501815677944,0.1824750907838972
exp_both,0.4621739603334423,300.0,0.5,0.2198881712028965,0.09886010223795712,0.3649501815677944,0.1824750907838972
exp_both,0.4932547163021267,300.0,0.5,0.21816402334980176,0.10027946845362948,0.3649501815677944,0.1824750907838972
exp_both,0.5264256233275432,300.0,0.5,0.21642902984933413,0.1017077631062921,0.3649501815677944,0.1824750907838972
exp_both,0.5618272420654347,300.0,0.5,0.21468351671968097,0.10314471780875298,0.3649501815677944,0.1824750907838972
exp_both,0.5996095857409558,300.0,0.5,0.21292781912478492,0.1045900566447813,0.3649501815677944,0.1824750907838972
exp_both,0.6399327558249069,300.0,0.5,0.21116228116525906,0.10604349634123195,0.3649501815677944,0.1824750907838972
exp_both,0.6829676204585873,300.0,0.5,0.20938725565336128,0.1075047464532929,0.3649501815677944,0.1824750907838972
exp_both,0.7288965385020698,300.0,0.5,0.20760310387222736,0.10897350956269083,0.3649501815677944,0.1824750907838972
exp_both,0.7779141322740276,300.0,0.5,0.2058101953196103,0.11044948148865238,0.3649501815677944,0.1824750907838972
exp_both,0.8302281122575741,300.0,0.5,0.20400890743641745,0.11193235151137977,0.3649501815677944,0.1824750907838972
exp_both,0.8860601572667789,300.0,0.5,0.20219962532038552,0.11342180260776132,0.3649501815677944,0.1824750907838972
exp_both,0.9456468538035422,300.0,0.5,0.20038274142527948,0.11491751169899966,0.3649501815677944,0.1824750907838972
