replicate,budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
52,1e+19,2048,exponential,0.4,0.128790481566212,10.0,0.558163061962163,3.3203774747152255,7.727428893972721e+18,5.275258124952044e+17,1.745045293532074e+18,9.999999999999998e+18,2.220446049250313e-16,0.7727428893972721,0.052752581249520446,0.17450452935320743,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
52,1e+21,2048,exponential,0.4,2.3232040385096084,53.1494651642074,1.0,2.392619291839948,7.408623126846742e+20,5.057620054594043e+19,2.0856148676938518e+20,1e+21,0.0,0.7408623126846743,0.05057620054594043,0.20856148676938518,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
52,1e+22,2048,exponential,0.4,5.643697757793658,249.38961070122383,1.0,2.1801129102310797,8.44487752038918e+21,5.765036387252348e+20,9.78618840885585e+20,1e+22,0.0,0.844487752038918,0.05765036387252348,0.09786188408855849,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
56,1e+19,2048,exponential,0.4,0.12963768060537917,10.0,0.5549538617698297,3.3003169369572403,7.778260836322751e+18,5.309959397596331e+17,1.6907432239176159e+18,9.999999999999998e+18,2.220446049250313e-16,0.7778260836322752,0.05309959397596332,0.16907432239176162,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
56,1e+21,2048,exponential,0.4,2.3232363411130357,53.148880291344334,1.0,2.3794775397895727,7.408644610939052e+20,5.0576347210677264e+19,2.0855919169541757e+20,1e+21,0.0,0.7408644610939052,0.05057634721067727,0.20855919169541756,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
56,1e+22,2048,exponential,0.4,5.644329656643692,249.36442283708524,1.0,2.1669960938488577,8.444970042787187e+21,5.765099549209386e+20,9.785200022918745e+20,1e+22,0.0,0.8444970042787187,0.05765099549209386,0.09785200022918746,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
60,1e+19,2048,exponential,0.4,0.12879712617219252,10.0,0.5581381310272558,3.3019289218234333,7.727827570331553e+18,5.275530288013006e+17,1.7446194008671462e+18,9.999999999999998e+18,2.220446049250313e-16,0.7727827570331554,0.05275530288013007,0.17446194008671465,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
60,1e+21,2048,exponential,0.4,2.3229783277991163,53.15355225502256,1.0,2.374162886899584,7.408472996037316e+20,5.0575175652948074e+19,2.0857752474332037e+20,1e+21,0.0,0.7408472996037315,0.05057517565294808,0.20857752474332036,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
60,1e+22,2048,exponential,0.4,5.642633635857865,249.4320387360992,1.0,2.1616614853013627,8.444721669797492e+21,5.764929993248421e+20,9.787853308776662e+20,1e+22,0.0,0.8444721669797491,0.05764929993248421,0.09787853308776662,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
64,1e+19,2048,exponential,0.4,0.1296820248182022,10.0,0.5547841713610204,3.3026986383020387,7.780921489092133e+18,5.311775736553563e+17,1.68790093725251e+18,9.999999999999998e+18,2.220446049250313e-16,0.7780921489092134,0.05311775736553563,0.16879009372525103,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
64,1e+21,2048,exponential,0.4,2.3227315691190618,53.158021194425324,1.0,2.382095365613316,7.408308838811512e+20,5.057405500628659e+19,2.0859506111256212e+20,1e+21,0.0,0.7408308838811513,0.050574055006286596,0.20859506111256212,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
64,1e+22,2048,exponential,0.4,5.641356781824676,249.4829677559744,1.0,2.1695810923966765,8.44453459259948e+21,5.764802281881245e+20,9.789851792123966e+20,1e+22,0.0,0.844453459259948,0.05764802281881245,0.09789851792123966,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
68,1e+19,2048,exponential,0.4,0.12957547763295263,9.999999999999998,0.5551916008801558,3.2974559887982986,7.774528657977158e+18,5.3074115638457395e+17,1.6947301856382702e+18,1.0000000000000002e+19,0.0,0.7774528657977156,0.05307411563845738,0.169473018563827,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
68,1e+21,2048,exponential,0.4,2.3232655403634643,53.14835161905217,1.0,2.3760898803819055,7.408664030619879e+20,5.0576479782365045e+19,2.08557117155647e+20,1e+21,0.0,0.7408664030619879,0.05057647978236504,0.208557117155647,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
